Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Isaiah Stewart,C,19,DET,32,2,18.3,2.3,4.2,.541,0.0,0.2,.200,2.3,4.1,.554,.544,0.7,1.0,.688,2.4,3.4,5.8,0.7,0.6,1.0,0.9,2.6,5.3
Max Strus,SF,24,MIA,18,0,15.3,2.5,5.5,.455,1.7,4.6,.366,0.8,0.9,.882,.606,0.5,0.7,.750,0.1,1.0,1.1,0.6,0.2,0.0,0.2,1.3,7.2
Edmond Sumner,SG,25,IND,19,4,9.8,1.5,3.0,.509,0.3,1.0,.316,1.2,2.0,.605,.561,0.8,1.1,.714,0.4,1.1,1.4,0.5,0.5,0.1,0.5,1.1,4.2
Jae'Sean Tate,SF,25,HOU,32,21,27.3,4.0,7.4,.540,0.7,2.0,.323,3.3,5.4,.622,.584,1.3,1.7,.745,1.8,3.4,5.2,1.7,0.9,0.6,1.2,3.0,9.9
Jayson Tatum,SF,22,BOS,29,29,35.6,9.1,20.9,.437,2.7,7.2,.368,6.5,13.7,.472,.500,4.3,4.9,.874,0.6,6.4,7.0,4.4,1.3,0.5,2.5,1.9,25.2
Jeff Teague,PG,32,BOS,26,4,17.9,2.0,5.7,.342,0.7,1.6,.405,1.3,4.1,.318,.399,1.6,1.8,.913,0.3,1.4,1.7,2.1,0.8,0.2,1.2,1.2,6.2
Garrett Temple,SG,34,CHI,31,10,28.3,3.3,7.5,.435,1.5,4.0,.360,1.8,3.5,.523,.532,0.8,1.1,.788,0.5,2.6,3.2,2.0,1.0,0.5,1.0,2.3,8.8
Tyrell Terry,PG,20,DAL,11,0,5.1,0.5,1.5,.313,0.0,0.6,.000,0.5,0.8,.556,.313,0.1,0.3,.333,0.0,0.5,0.5,0.5,0.5,0.0,0.2,0.2,1.0
Daniel Theis,C,28,BOS,32,27,24.8,3.8,6.6,.571,0.8,2.2,.380,2.9,4.3,.669,.636,1.1,1.7,.642,1.3,3.8,5.1,1.4,0.6,1.2,1.1,2.9,9.4
Brodric Thomas,SG,24,HOU,4,0,6.0,0.5,1.8,.286,0.3,1.5,.167,0.3,0.3,1.000,.357,1.3,1.8,.714,0.3,0.8,1.0,1.0,0.3,0.3,1.0,1.3,2.5
Matt Thomas,SG,26,TOR,20,0,6.2,0.7,2.0,.359,0.5,1.4,.357,0.2,0.6,.364,.487,0.2,0.2,1.000,0.1,0.7,0.7,0.5,0.1,0.0,0.3,0.3,2.1
